'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,Database,Hardware,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Database,Application,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Network,Application,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Computer,Hardware,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.75,ITCC,3
Other,Database,'Inquiry / Help','FedEx Ground',morning,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
Other,Server,Application,'FedEx Services',night,ID5163721,True,1,True,'Divakar Durgapal',1,ITCC,3
Other,Server,Application,'FedEx Services',evening,Other,True,0.5,True,'Mandeep Khati',0.75,ITCC,3
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',evening,Other,True,1,True,'Mandeep Khati',0.5,ITCC,1
Other,Server,Hardware,'FedEx Services',evening,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,'Communication Device',Application,'FedEx Services',afternoon,ID5285658,True,1,True,'Shafi Ahmed',0.75,ITCC,2
Other,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Network,Application,'FedEx Services',afternoon,Other,True,0,False,'Marconius Donahue',0.5,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,evening,Other,False,1,False,'Naveen Kumar',1,Standard,3
Other,'Communication Device',Application,'FedEx Freight Inc.',morning,Other,True,1,True,'Herman Holeyfield',0.75,ITCC,2
FXS_WASDRATINGTRACKING,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Anjali Sharma',0.5,ITCC,2
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,True,0.5,True,'Stephen Barch',0.5,ITCC,2
Other,Computer,Application,'FedEx Freight Inc.',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Hardware,'FedEx Services',night,ID5305519,True,1,True,'Ashish Bisht',0.75,ITCC,2
Other,Computer,Application,'FedEx Ground',morning,Other,True,1,True,Other,1,Standard,3
Other,Network,Application,'FedEx Freight Inc.',morning,Other,True,1,True,'Herman Holeyfield',1,ITCC,3
Other,Computer,Application,'FedEx Services',afternoon,ID5285658,True,1,True,'Shafi Ahmed',1,ITCC,3
Other,Server,Application,'FedEx Freight Inc.',morning,ID973921,True,1,True,'Stephen Barch',0.75,ITCC,2
Other,Server,Application,'FedEx Express',night,ID5163721,True,1,True,'Divakar Durgapal',1,ITCC,3
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,Other,False,1,False,'Naveen Kumar',1,Standard,3
Other,Server,Application,'FedEx Services',evening,ID5305519,True,1,True,'Ashish Bisht',0.75,ITCC,2
FXS_EIS_GLB_ProblemMgmt,Computer,Application,'FedEx Freight Inc.',night,ID5163721,True,0.5,True,'Divakar Durgapal',0.5,ITCC,2
Other,Server,Application,'FedEx Services',night,ID5163721,True,0.5,True,'Divakar Durgapal',0.5,ITCC,2
FXS_WASDRATINGTRACKING,Other,Application,'FedEx Services',afternoon,ID836059,True,0.5,True,'Khouri Mitchell',0.25,ITCC,1
Other,Server,Application,'FedEx Services',night,ID3667964,True,0,True,'DZundra Green',0.25,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID3667964,True,0.5,True,'DZundra Green',0.5,ITCC,2
Other,Other,Application,'FedEx Services',evening,Other,True,1,True,'Marconius Donahue',1,ITCC,3
Other,'Communication Device',Application,'FedEx Ground',night,ID5285658,True,1,True,'Shafi Ahmed',0.75,ITCC,2
